pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
elbsf00211;sgbh;elbsf00211-sgbh;ELBSF00211-SGBH;element;elbsf00211_element,f_sgbh_frt1.jpg;elbsf00211_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00213;bmk0;elbsf00213-bmk0;ELBSF00213-BMK0;element;elbsf00213_element,f_bmk0_frt1.jpg;elbsf00213_element,f_bmk0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00214;sgbh;elbsf00214-sgbh;ELBSF00214-SGBH;element;elbsf00214_element,f_sgbh_frt1.jpg;elbsf00214_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00215;fbk;elbsf00215-fbk;ELBSF00215-FBK;element;elbsf00215_element,f_fbk_frt1.jpg;elbsf00215_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00216;blz0;elbsf00216-blz0;ELBSF00216-BLZ0;element;elbsf00216_element,f_blz0_frt1.jpg;elbsf00216_element,f_blz0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00217;ctf0;elbsf00217-ctf0;ELBSF00217-CTF0;element;elbsf00217_element,f_ctf0_frt1.jpg;elbsf00217_element,f_ctf0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbwt00113;ctf2;elbwt00113-ctf2;ELBWT00113-CTF2;element;elbwt00113_element,f_ctf2_frt1.jpg;elbwt00113_element,f_ctf2_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbwt00114;bhc1;elbwt00114-bhc1;ELBWT00114-BHC1;element;elbwt00114_element,f_bhc1_frt1.jpg;elbwt00114_element,f_bhc1_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00225;blz0;elbzt00225-blz0;ELBZT00225-BLZ0;element;elbzt00225_element,f_blz0_frt1.jpg;elbzt00225_element,f_blz0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00225;ecn;elbzt00225-ecn;ELBZT00225-ECN;element;elbzt00225_element,w_ecn_frt1.jpg;elbzt00225_element,w_ecn_bck1.jpg;elbzt00225_element,f_ecn_frt1.jpg;elbzt00225_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;
elbzt00225;fbk;elbzt00225-fbk;ELBZT00225-FBK;element;elbzt00225_element,f_fbk_frt1.jpg;elbzt00225_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
